"NAME","n_facilities_within_5km","near_pps"
"Los Angeles",267,TRUE
"Kern",232,TRUE
"Worcester",220,TRUE
"San Bernardino",157,TRUE
"Riverside",131,TRUE
"Fresno",107,TRUE
"Middlesex",99,TRUE
"Hampden",98,TRUE
"San Diego",90,TRUE
"Middlesex",87,TRUE
"Plymouth",84,TRUE
"Harris",83,TRUE
"Bristol",78,TRUE
"Hampshire",73,TRUE
"Imperial",73,TRUE
"Sacramento",72,TRUE
"Providence",69,TRUE
"Stearns",66,TRUE
"Orange",64,TRUE
"Tulare",63,TRUE
"Santa Clara",63,TRUE
"Hudson",61,TRUE
"Maricopa",60,TRUE
"Robeson",59,TRUE
"Clark",59,TRUE
"Norfolk",57,TRUE
"Burlington",56,TRUE
"Southeastern Connecticut",55,TRUE
"Solano",55,TRUE
"Saratoga",54,TRUE
"Suffolk",53,TRUE
"Bergen",53,TRUE
"Chisago",52,TRUE
"New York",51,TRUE
"Wright",51,TRUE
"Capitol",50,TRUE
"Dakota",50,TRUE
"Duplin",50,TRUE
"Franklin",49,TRUE
"Orange",49,TRUE
"St. Lawrence",49,TRUE
"Union",49,TRUE
"Kings",46,TRUE
"Somerset",45,TRUE
"Monmouth",45,TRUE
"Mercer",45,TRUE
"Queens",45,TRUE
"Johnston",44,TRUE
"Cook",43,TRUE
"Essex",43,TRUE
"Alameda",42,TRUE
"Rice",42,TRUE
"Kings",41,TRUE
"Prince George's",41,TRUE
"Pipestone",41,TRUE
"Contra Costa",40,TRUE
"Gloucester",40,TRUE
"Shasta",40,TRUE
"Sherburne",40,TRUE
"Richmond",40,TRUE
"Wayne",40,TRUE
"Camden",39,TRUE
"Adams",39,TRUE
"Rensselaer",39,TRUE
"Berkshire",39,TRUE
"Ulster",38,TRUE
"Somerset",38,TRUE
"Clackamas",38,TRUE
"Twin Falls",38,TRUE
"Albany",38,TRUE
"Nash",37,TRUE
"Polk",37,TRUE
"Baltimore",36,TRUE
"Weld",36,TRUE
"Renville",36,TRUE
"Madera",36,TRUE
"San Joaquin",36,TRUE
"Northeastern Connecticut",36,TRUE
"Goodhue",36,TRUE
"Waseca",36,TRUE
"Jefferson",35,TRUE
"Blue Earth",35,TRUE
"Morris",35,TRUE
"Westchester",35,TRUE
"Philadelphia",35,TRUE
"Monroe",35,TRUE
"Essex",34,TRUE
"Brazoria",34,TRUE
"Bucks",34,TRUE
"Cleveland",34,TRUE
"Marion",33,TRUE
"Hillsborough",33,TRUE
"Oswego",33,TRUE
"Halifax",33,TRUE
"Lewis",33,TRUE
"Erie",32,TRUE
"Pima",32,TRUE
"Bronx",32,TRUE
"Hennepin",30,TRUE
"Placer",30,TRUE
"Sampson",29,TRUE
"Monterey",29,TRUE
"Will",29,TRUE
"Dutchess",29,TRUE
"Carver",29,TRUE
"Kennebec",29,TRUE
"Northampton",28,TRUE
"Elmore",28,TRUE
"Dodge",28,TRUE
"Kent",28,TRUE
"Olmsted",28,TRUE
"Nicollet",27,TRUE
"Chittenden",27,TRUE
"Sonoma",26,TRUE
"Ventura",26,TRUE
"Washington",26,TRUE
"Hunterdon",26,TRUE
"Franklin",26,TRUE
"San Luis Obispo",26,TRUE
"Fulton",26,TRUE
"Lincoln",26,TRUE
"Fort Bend",25,TRUE
"Arapahoe",25,TRUE
"Washington",25,TRUE
"Pitt",25,TRUE
"Gaston",25,TRUE
"Benton",25,TRUE
"Murray",25,TRUE
"Harford",24,TRUE
"Nassau",24,TRUE
"Steele",24,TRUE
"Harnett",24,TRUE
"New Castle",24,TRUE
"Scotland",24,TRUE
"Sullivan",24,TRUE
"Washington",24,TRUE
"Stanislaus",24,TRUE
"Montgomery",24,TRUE
"South Central Connecticut",24,TRUE
"Salem",24,TRUE
"Warren",24,TRUE
"Oneida",24,TRUE
"Ocean",24,TRUE
"Lenoir",24,TRUE
"Schenectady",24,TRUE
"Hidalgo",23,TRUE
"Butte",23,TRUE
"Merced",23,TRUE
"Edgecombe",23,TRUE
"Yolo",23,TRUE
"Cumberland",23,TRUE
"Lancaster",23,TRUE
"Denver",23,TRUE
"Kandiyohi",23,TRUE
"Gooding",23,TRUE
"Le Sueur",23,TRUE
"Catawba",23,TRUE
"Clinton",23,TRUE
"Morrow",23,TRUE
"Montgomery",23,TRUE
"Wake",23,TRUE
"Marion",23,TRUE
"Tarrant",23,TRUE
"Naugatuck Valley",22,TRUE
"District of Columbia",22,TRUE
"El Dorado",22,TRUE
"Pinal",22,TRUE
"Moore",22,TRUE
"Columbus",22,TRUE
"Bexar",22,TRUE
"Tuolumne",22,TRUE
"Penobscot",22,TRUE
"Barnstable",22,TRUE
"Sibley",22,TRUE
"McLeod",22,TRUE
"Anderson",21,TRUE
"Travis",21,TRUE
"Hertford",21,TRUE
"Anne Arundel",21,TRUE
"Rowan",21,TRUE
"Lee",21,TRUE
"Umatilla",21,TRUE
"Pope",21,TRUE
"Cameron",20,TRUE
"Nevada",20,TRUE
"Galveston",20,TRUE
"Onondaga",20,TRUE
"Herkimer",20,TRUE
"Atlantic",20,TRUE
"Niagara",20,TRUE
"Pecos",20,TRUE
"Grafton",20,TRUE
"Adair",20,TRUE
"Huron",20,TRUE
"Craven",20,TRUE
"Howard",20,TRUE
"Dane",20,TRUE
"LaSalle",20,TRUE
"Sussex",20,TRUE
"Guilford",20,TRUE
"Randolph",20,TRUE
"Androscoggin",20,TRUE
"Chatham",20,TRUE
"Iron",20,TRUE
"Yamhill",20,TRUE
"Oxford",19,TRUE
"Cumberland",19,TRUE
"Martin",19,TRUE
"Mohave",19,TRUE
"Inyo",19,TRUE
"Delaware",19,TRUE
"Bladen",19,TRUE
"Chippewa",19,TRUE
"Winona",19,TRUE
"Merrimack",19,TRUE
"Greene",19,TRUE
"York",18,TRUE
"Mecklenburg",18,TRUE
"Gilliam",18,TRUE
"Fulton",18,TRUE
"Redwood",18,TRUE
"Northampton",18,TRUE
"Washoe",18,TRUE
"Cherokee",18,TRUE
"Suffolk",18,TRUE
"Beaver",18,TRUE
"Genesee",18,TRUE
"Ontario",18,TRUE
"Addison",18,TRUE
"Polk",18,TRUE
"Allegany",18,TRUE
"Baltimore",18,TRUE
"Columbia",18,TRUE
"Marinette",17,TRUE
"Calaveras",17,TRUE
"Richmond",17,TRUE
"Larimer",17,TRUE
"Klamath",17,TRUE
"Lake",17,TRUE
"Pittsylvania",17,TRUE
"Bertie",17,TRUE
"Spartanburg",17,TRUE
"Scott",17,TRUE
"Western Connecticut",17,TRUE
"Wilson",17,TRUE
"Hillsborough",17,TRUE
"El Paso",17,TRUE
"Story",17,TRUE
"Jerome",17,TRUE
"Cumberland",17,TRUE
"Rutland",17,TRUE
"Kankakee",17,TRUE
"Nolan",17,TRUE
"Bernalillo",17,TRUE
"DeKalb",16,TRUE
"Rockingham",16,TRUE
"Orangeburg",16,TRUE
"Darlington",16,TRUE
