"NAME","n_facilities"
"Los Angeles",237
"Kern",218
"Worcester",173
"San Bernardino",143
"Riverside",102
"San Diego",89
"Fresno",87
"Hampden",75
"Imperial",70
"Harris",66
"Middlesex",62
"Plymouth",62
"Maricopa",58
"Bristol",57
"Sacramento",57
"Clark",57
"Middlesex",56
"Santa Clara",56
"Suffolk",52
"Providence",51
"St. Lawrence",48
"Orange",47
"Chisago",46
"Tulare",45
"Orange",45
"Robeson",45
"Southeastern Connecticut",43
"Kings",40
"Burlington",39
"Shasta",38
"Stearns",38
"Wayne",36
"Duplin",36
"Weld",34
"Capitol",33
"Solano",33
"Nash",32
"Hampshire",32
"Pima",32
"Franklin",31
"Johnston",30
"Goodhue",30
"Dakota",30
"Contra Costa",29
"Cook",29
"Essex",29
"Norfolk",29
"Jefferson",29
"Marion",29
"Clackamas",29
"Polk",29
"Saratoga",29
"Adams",29
"Cleveland",29
"Brazoria",28
"Monroe",28
"Berkshire",28
"Pipestone",28
"Somerset",27
"Alameda",27
"Monterey",27
"Prince George's",27
"Oswego",27
"Sherburne",27
"San Joaquin",26
"Wright",26
"Lewis",26
"Twin Falls",25
"Rice",25
"Lincoln",25
"Mercer",24
"Somerset",23
"Erie",23
"Marion",23
"Blue Earth",22
"Monmouth",22
"Westchester",22
"Madera",22
"Bexar",22
"Albany",22
"Hudson",22
"Chittenden",22
"Hidalgo",21
"Butte",21
"Renville",21
"Oneida",21
"Placer",21
"Union",21
"Clinton",21
"Tarrant",21
"Sonoma",20
"Kings",20
"Cumberland",20
"Onondaga",20
"Columbus",20
"Will",20
"Dutchess",20
"Penobscot",20
"Ulster",19
"Hillsborough",19
"Pinal",19
"Camden",19
"Sullivan",19
"Pecos",19
"Carver",19
"McLeod",19
"Gloucester",18
"Merced",18
"Stanislaus",18
"Ventura",18
"Washington",18
"Huron",18
"Dodge",18
"Barnstable",18
"Dane",18
"Iron",18
"Morrow",18
"Waseca",18
"Kennebec",18
"Baltimore",17
"Harford",17
"Northampton",17
"New York",17
"Inyo",17
"Elmore",17
"Washington",17
"Tuolumne",17
"Beaver",17
"Ocean",17
"El Paso",17
"Randolph",17
"Pope",17
"Martin",16
"Scotland",16
"Klamath",16
"Travis",16
"Queens",16
"Hertford",16
"Duval",16
"Hunterdon",16
"Atlantic",16
"Halifax",16
"Adair",16
"Logan",16
"Winona",16
"Rensselaer",16
"Olmsted",16
"Le Sueur",16
"Fulton",16
"Catawba",16
"Androscoggin",16
"Nassau",15
"Cameron",15
"Steele",15
"Morris",15
"Cumberland",15
"El Dorado",15
"Galveston",15
"Sampson",15
"Montgomery",15
"Bladen",15
"Lancaster",15
"South Central Connecticut",15
"Spartanburg",15
"Niagara",15
"Rowan",15
"Howard",15
"Gaston",15
"Benton",15
"Story",15
"Kent",15
"Fort Bend",14
"New Castle",14
"District of Columbia",14
"Warren",14
"Essex",14
"Pueblo",14
"Chippewa",14
"Ontario",14
"Wilson",14
"Klickitat",14
"Rutland",14
"Stephenson",14
"Bernalillo",14
"Bronx",14
"Malheur",13
"Yolo",13
"Fulton",13
"Salt Lake",13
"Redwood",13
"Mohave",13
"Douglas",13
"Grafton",13
"Genesee",13
"Vance",13
"San Luis Obispo",13
"Addison",13
"Carbon",13
"Umatilla",13
"LaSalle",13
"Nolan",13
"Scurry",13
"Wyoming",13
"Lyon",13
"Schenectady",13
"Somerset",12
"Nueces",12
"Naugatuck Valley",12
"Richmond",12
"Harnett",12
"Larimer",12
"Gilliam",12
"Lake",12
"Boulder",12
"Washington",12
"Herkimer",12
"Washoe",12
"Rutherford",12
"Wayne",12
"Santa Barbara",12
"Northeastern Connecticut",12
"Franklin",12
"Whatcom",12
"Calcasieu",12
"Richmond",12
"Jackson",12
"Winnebago",12
"Kankakee",12
"Lenoir",12
"Caddo",12
"Guilford",12
"Chatham",12
"Lea",12
"Merrimack",12
"Yamhill",12
"Outagamie",12
"Linn",12
"Wake",12
"Oxford",11
"Webb",11
"Alachua",11
"Lexington",11
"Beaufort",11
"Lane",11
"Franklin",11
"Anderson",11
"Plumas",11
"Arapahoe",11
"Orangeburg",11
"Darlington",11
"Churchill",11
"Moore",11
"Montgomery",11
"Jackson",11
"King",11
"Montgomery",11
"Pitt",11
"Philadelphia",11
"Aroostook",11
"Orange",11
"Ector",11
"Western Connecticut",11
"Craven",11
"Reeves",11
"Kandiyohi",11
"Lee",11
"Madison",11
"Cumberland",11
"Lake",11
"Steuben",11
"Franklin",11
"Kane",11
"Nobles",11
"Dallas",11
"White",11
"Kent",10
"Clay",10
"Brevard",10
"Anson",10
"Wayne",10
"Victoria",10
"Cattaraugus",10
"Washington",10
